Tipo,Número,Ano,Arquivo,oss,unidade,municipio,endereco,bairro,tipo,cnes,cnpj
Termo Aditivo 01/2019,1,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,Centro de Atenção Integrada à Saúde Mental De Franco da Rocha(CAISM Franco da Rocha),Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2746220,62.779.145/0001-90
Termo Aditivo 02/2019,2,2019,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,Centro de Atenção Integrada à Saúde Mental De Franco da Rocha(CAISM Franco da Rocha),Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2746220,62.779.145/0001-90
Contrato de Gestão 2019,-,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Centro de Referência da Saúde da Mulher de Ribeirão Preto - Mater(CRSM Mater - Ribeirão Preto),Ribeirão Preto,"Av. Wanderley Taffo, 330",Quintino Facci II,Hospitais,2079119,56.014.830/0002-03
Termo Aditivo 01/2019,1,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Centro de Referência da Saúde da Mulher de Ribeirão Preto - Mater(CRSM Mater - Ribeirão Preto),Ribeirão Preto,"Av. Wanderley Taffo, 330",Quintino Facci II,Hospitais,2079119,56.014.830/0002-03
Termo Aditivo 01/2019 (Contrato de Gestão 2019),1,2019,Visualizar,Fundação de Apoio ao Ensino Pesquisa e Assistência  HCFMRPUSP - FAEPA,Centro de Referência da Saúde da Mulher de Ribeirão Preto - Mater(CRSM Mater - Ribeirão Preto),Ribeirão Preto,"Av. Wanderley Taffo, 330",Quintino Facci II,Hospitais,2079119,56.014.830/0002-03
Contrato de Gestão 2019,-,2019,Visualizar,Fundação do ABC,Centro Hospitalar do Sistema Penitenciário(Centro Hospitalar do Sistema Penitenciário),São Paulo,"Rua Dom José Maurício, 15",Carandiru,Hospitais,3001466,62.779.145/0001-90
Termo Aditivo 01/2019,1,2019,Visualizar,Fundação do ABC,Centro Hospitalar do Sistema Penitenciário(Centro Hospitalar do Sistema Penitenciário),São Paulo,"Rua Dom José Maurício, 15",Carandiru,Hospitais,3001466,62.779.145/0001-90
Termo Aditivo 02/2019,2,2019,Visualizar,Fundação do ABC,Centro Hospitalar do Sistema Penitenciário(Centro Hospitalar do Sistema Penitenciário),São Paulo,"Rua Dom José Maurício, 15",Carandiru,Hospitais,3001466,62.779.145/0001-90
Termo Aditivo 03/2019,3,2019,Visualizar,Fundação do ABC,Centro Hospitalar do Sistema Penitenciário(Centro Hospitalar do Sistema Penitenciário),São Paulo,"Rua Dom José Maurício, 15",Carandiru,Hospitais,3001466,62.779.145/0001-90
Termo Aditivo 01/2019,1,2019,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Conjunto Hospitalar de Sorocaba(Conjunto Hospitalar de Sorocaba),Sorocaba,"Rua Comendador Pereira Inácio, 564",Jardim Vergueiro,Hospitais,2081695,46.374.500/0014-09
