CNES,Nome Unidade,Nome OSS,Detalhes,organizacao
2080680.0,Hospital das Clínicas Luzia de Pinho Melo,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2088576.0,Hospital de Transplantes do Estado de São Paulo Dr. Euryclides de Jesus Zerbini,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2084163.0,Hospital Estadual de Diadema,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2080338.0,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""",Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2066092.0,Hospital Geral de Pedreira,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2079828.0,Hospital Geral de Pirajussara,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
9491112.0,Hospital Regional de Sorocaba,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2077574.0,Pólo de Atenção Intensiva em Saúde Mental da Zona Norte - PAI Zona Norte,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
,Unidade Recomeço Helvetia,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2091542.0,Ambulatório Médico de Especialidades de Maria Zélia,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
7021801.0,Ambulatório Médico de Especialidades de Mogi das Cruzes,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
6578578.0,Ambulatório Médico de Especialidades de Psiquiatria Dra. Jandira Masur,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
7062672.0,Ambulatório Médico de Especialidades de Taboão da Serra,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2068931.0,Ambulatório Médico de Especialidades Idoso Oeste,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
2091461.0,Ambulatório Médico de Especialidades Idoso Sudeste,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
6423086.0,Ambulatório Médico de Especialidades Jardim dos Prados,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
6294049.0,Ambulatório Médico de Especialidades São José dos Campos,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
6889549.0,Centro de Medicina de Reabilitação Lucy Montoro de São José dos Campos,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
6335586.0,Centro Estadual de Análises Clínicas da Zona Leste,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM
