CNES,Nome Unidade,Nome OSS,Detalhes,organizacao
2792168,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba",Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
2078104,Hospital Geral de Itapeví,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
2066092,Hospital Geral de Pedreira,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
2079720,Pólo de Atenção Intensiva em Saúde Mental da Baixada Santista - PAI Baixada Santista,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
6199879,Ambulatório Médico de Especialidades Carapicuíba,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
7560435,Ambulatório Médico de Especialidades de Pariquera-Açu,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
6992560,Ambulatório Médico de Especialidades Dona Maria Lopes,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
6423086,Ambulatório Médico de Especialidades Jardim dos Prados,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
6657516,Ambulatório Médico de Especialidades Olavo Silva Souza,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
6166598,Ambulatório Médico de Especialidades Santos,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
7536917,Centro de Medicina de Reabilitação Lucy Montoro de Santos,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
7594011,Unidade de Reabilitação Lucy Montoro de Pariquera-Açu,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social
