Beneficiário,Programa,Natureza,Convênio,Pago,Pagar,Base Referência,Sub-programa,ano
FUNDO - ADAMANTINA,Dose Certa,Custeio,4.013,4.013,0,0.0,,2015
FUNDO - ADAMANTINA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ADAMANTINA,Glicemia,Custeio,17.212,17.212,0,0.0,,2015
FUNDO - ADAMANTINA,Atenção Basica,Custeio,105.003,105.003,0,0.0,,2015
FUNDO - ADAMANTINA,Educação Permanente,Custeio,35.880,35.880,0,0.0,,2015
FUNDO - ADAMANTINA,Dose Certa,Custeio,9.687,9.687,0,0.0,,2015
FUNDO - ADAMANTINA,Dose Certa,Custeio,11.116,11.116,0,0.0,,2015
FUNDO - ADOLFO,Dose Certa,Custeio,1.940,1.940,0,0.0,,2015
FUNDO - ADOLFO,Glicemia,Custeio,1.855,1.856,-1,0.0,,2015
FUNDO - ADOLFO,Atenção Basica,Custeio,10.893,10.893,0,0.0,,2015
FUNDO - ADOLFO,Qualis Mais,Custeio,48.000,48.000,0,0.0,,2015
FUNDO - ADOLFO,Dose Certa,Custeio,3.238,3.238,0,0.0,,2015
FUNDO - ADOLFO,Dose Certa,Custeio,2.623,2.623,0,0.0,,2015
FUNDO - AGUAI,Dose Certa,Custeio,2.242,2.242,0,0.0,,2015
FUNDO - AGUAI,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - AGUAI,Glicemia,Custeio,16.226,16.224,2,0.0,,2015
FUNDO - AGUAI,Atenção Basica,Custeio,103.590,103.590,0,0.0,,2015
FUNDO - AGUAI,Qualis Mais,Custeio,18.000,18.000,0,0.0,,2015
FUNDO - AGUAI,Dose Certa,Custeio,25.047,25.047,0,0.0,,2015
FUNDO - AGUAI,Dose Certa,Custeio,20.593,20.593,0,0.0,,2015
FUNDO - ÁGUAS DA PRATA,Dose Certa,Custeio,292,292,0,0.0,,2015
FUNDO - ÁGUAS DA PRATA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ÁGUAS DA PRATA,Glicemia,Custeio,3.867,3.868,-1,0.0,,2015
FUNDO - ÁGUAS DA PRATA,Atenção Basica,Custeio,23.952,23.952,0,0.0,,2015
FUNDO - ÁGUAS DA PRATA,Dose Certa,Custeio,4.283,4.283,0,0.0,,2015
FUNDO - ÁGUAS DA PRATA,Dose Certa,Custeio,5.778,5.778,0,0.0,,2015
FUNDO - ÁGUAS DE LINDOIA,Dose Certa,Custeio,5.639,5.639,0,0.0,,2015
FUNDO - ÁGUAS DE LINDOIA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ÁGUAS DE LINDOIA,Glicemia,Custeio,8.677,8.676,1,0.0,,2015
FUNDO - ÁGUAS DE LINDOIA,Atenção Basica,Custeio,54.636,54.636,0,0.0,,2015
FUNDO - ÁGUAS DE LINDOIA,Dose Certa,Custeio,11.830,11.830,0,0.0,,2015
FUNDO - ÁGUAS DE LINDOIA,Dose Certa,Custeio,9.652,9.652,0,0.0,,2015
FUNDO - ÁGUAS DE SANTA BARBARA,Dose Certa,Custeio,2.174,2.174,0,0.0,,2015
FUNDO - ÁGUAS DE SANTA BARBARA,Glicemia,Custeio,2.815,2.816,-1,0.0,,2015
FUNDO - ÁGUAS DE SANTA BARBARA,Atenção Basica,Custeio,17.733,17.733,0,0.0,,2015
FUNDO - ÁGUAS DE SANTA BARBARA,Dose Certa,Custeio,4.241,4.241,0,0.0,,2015
FUNDO - ÁGUAS DE SANTA BARBARA,Dose Certa,Custeio,3.237,3.237,0,0.0,,2015
FUNDO - ÁGUAS DE SÃO PEDRO,Dose Certa,Custeio,788,788,0,0.0,,2015
FUNDO - ÁGUAS DE SÃO PEDRO,Glicemia,Custeio,1.386,1.384,2,0.0,,2015
FUNDO - ÁGUAS DE SÃO PEDRO,Atenção Basica,Custeio,9.219,9.219,0,0.0,,2015
FUNDO - ÁGUAS DE SÃO PEDRO,Dose Certa,Custeio,872,872,0,0.0,,2015
FUNDO - ÁGUAS DE SÃO PEDRO,Dose Certa,Custeio,928,928,0,0.0,,2015
FUNDO - AGUDOS,Dose Certa,Custeio,13.577,13.577,0,0.0,,2015
FUNDO - AGUDOS,Glicemia,Custeio,18.094,18.096,-2,0.0,,2015
FUNDO - AGUDOS,Atenção Basica,Custeio,109.017,109.017,0,0.0,,2015
FUNDO - AGUDOS,Qualis Mais,Custeio,168.000,168.000,0,0.0,,2015
FUNDO - AGUDOS,Dose Certa,Custeio,21.605,21.605,0,0.0,,2015
FUNDO - AGUDOS,Dose Certa,Custeio,15.290,15.290,0,0.0,,2015
FUNDO - ALAMBARI,Dose Certa,Custeio,2.409,2.409,0,0.0,,2015
FUNDO - ALAMBARI,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ALAMBARI,Glicemia,Custeio,2.490,2.488,2,0.0,,2015
FUNDO - ALAMBARI,Atenção Basica,Custeio,16.380,16.380,0,0.0,,2015
FUNDO - ALAMBARI,Qualis Mais,Custeio,48.000,48.000,0,0.0,,2015
FUNDO - ALAMBARI,Dose Certa,Custeio,4.097,4.097,0,0.0,,2015
FUNDO - ALAMBARI,Dose Certa,Custeio,1.538,1.538,0,0.0,,2015
FUNDO - ALFREDO MARCONDES,Dose Certa,Custeio,380,380,0,0.0,,2015
FUNDO - ALFREDO MARCONDES,Glicemia,Custeio,2.028,2.028,0,0.0,,2015
FUNDO - ALFREDO MARCONDES,Atenção Basica,Custeio,12.249,12.249,0,0.0,,2015
FUNDO - ALFREDO MARCONDES,Qualis Mais,Custeio,96.000,96.000,0,0.0,,2015
FUNDO - ALFREDO MARCONDES,Dose Certa,Custeio,1.826,1.826,0,0.0,,2015
FUNDO - ALFREDO MARCONDES,Dose Certa,Custeio,1.193,1.193,0,0.0,,2015
FUNDO - ALTAIR,Dose Certa,Custeio,1.357,1.357,0,0.0,,2015
FUNDO - ALTAIR,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ALTAIR,Glicemia,Custeio,1.919,1.920,-1,0.0,,2015
FUNDO - ALTAIR,Atenção Basica,Custeio,12.105,12.105,0,0.0,,2015
FUNDO - ALTAIR,Qualis Mais,Custeio,48.000,48.000,0,0.0,,2015
FUNDO - ALTAIR,Dose Certa,Custeio,2.958,2.958,0,0.0,,2015
FUNDO - ALTAIR,Dose Certa,Custeio,2.283,2.283,0,0.0,,2015
FUNDO - ALTINÓPOLIS,Dose Certa,Custeio,4.581,4.581,0,0.0,,2015
FUNDO - ALTINÓPOLIS,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ALTINÓPOLIS,Glicemia,Custeio,7.809,7.808,1,0.0,,2015
FUNDO - ALTINÓPOLIS,Atenção Basica,Custeio,48.477,48.477,0,0.0,,2015
FUNDO - ALTINÓPOLIS,Qualis Mais,Custeio,192.000,192.000,0,0.0,,2015
FUNDO - ALTINÓPOLIS,Dose Certa,Custeio,22.898,22.898,0,0.0,,2015
FUNDO - ALTINÓPOLIS,Dose Certa,Custeio,12.894,12.894,0,0.0,,2015
FUNDO - ALTO ALEGRE,Dose Certa,Custeio,1.080,1.080,0,0.0,,2015
FUNDO - ALTO ALEGRE,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ALTO ALEGRE,Glicemia,Custeio,2.134,2.132,2,0.0,,2015
FUNDO - ALTO ALEGRE,Atenção Basica,Custeio,12.549,12.549,0,0.0,,2015
FUNDO - ALTO ALEGRE,Qualis Mais,Custeio,96.000,96.000,0,0.0,,2015
FUNDO - ALTO ALEGRE,Dose Certa,Custeio,3.339,3.339,0,0.0,,2015
FUNDO - ALTO ALEGRE,Dose Certa,Custeio,5.372,5.372,0,0.0,,2015
FUNDO - ALUMINIO,Dose Certa,Custeio,2.240,2.240,0,0.0,,2015
FUNDO - ALUMINIO,Glicemia,Custeio,8.481,8.480,1,0.0,,2015
FUNDO - ALUMINIO,Atenção Basica,Custeio,53.772,53.772,0,0.0,,2015
FUNDO - ALUMINIO,Dose Certa,Custeio,4.101,4.101,0,0.0,,2015
FUNDO - ALUMINIO,Dose Certa,Custeio,3.913,3.913,0,0.0,,2015
FUNDO - ÁLVARES FLORENCE,Dose Certa,Custeio,3.851,3.851,0,0.0,,2015
FUNDO - ÁLVARES FLORENCE,Glicemia,Custeio,1.938,1.940,-2,0.0,,2015
FUNDO - ÁLVARES FLORENCE,Atenção Basica,Custeio,11.649,11.649,0,0.0,,2015
FUNDO - ÁLVARES FLORENCE,Qualis Mais,Custeio,48.000,48.000,0,0.0,,2015
FUNDO - ÁLVARES FLORENCE,Dose Certa,Custeio,5.547,5.547,0,0.0,,2015
FUNDO - ÁLVARES FLORENCE,Dose Certa,Custeio,1.324,1.324,0,0.0,,2015
FUNDO - ÁLVARES MACHADO,Dose Certa,Custeio,6.286,6.286,0,0.0,,2015
FUNDO - ÁLVARES MACHADO,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ÁLVARES MACHADO,Glicemia,Custeio,11.890,11.888,2,0.0,,2015
FUNDO - ÁLVARES MACHADO,Atenção Basica,Custeio,73.704,73.704,0,0.0,,2015
FUNDO - ÁLVARES MACHADO,Qualis Mais,Custeio,192.000,192.000,0,0.0,,2015
FUNDO - ÁLVARES MACHADO,Dose Certa,Custeio,28.670,28.670,0,0.0,,2015
FUNDO - ÁLVARES MACHADO,Dose Certa,Custeio,12.432,12.432,0,0.0,,2015
FUNDO - ÁLVARO DE CARVALHO,Dose Certa,Custeio,1.198,1.198,0,0.0,,2015
FUNDO - ÁLVARO DE CARVALHO,Sistema Prisional,Custeio,259.200,259.200,0,0.0,,2015
FUNDO - ÁLVARO DE CARVALHO,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ÁLVARO DE CARVALHO,Glicemia,Custeio,2.492,2.492,0,0.0,,2015
FUNDO - ÁLVARO DE CARVALHO,Atenção Basica,Custeio,14.952,14.952,0,0.0,,2015
FUNDO - ÁLVARO DE CARVALHO,Qualis Mais,Custeio,96.000,96.000,0,0.0,,2015
FUNDO - ÁLVARO DE CARVALHO,Dose Certa,Custeio,6.403,6.403,0,0.0,,2015
FUNDO - ÁLVARO DE CARVALHO,Dose Certa,Custeio,3.895,3.895,0,0.0,,2015
FUNDO - ALVILANDIA,Dose Certa,Custeio,598,598,0,0.0,,2015
FUNDO - ALVILANDIA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ALVILANDIA,Glicemia,Custeio,1.507,1.508,-1,0.0,,2015
FUNDO - ALVILANDIA,Atenção Basica,Custeio,9.459,9.459,0,0.0,,2015
FUNDO - ALVILANDIA,Qualis Mais,Custeio,48.000,48.000,0,0.0,,2015
FUNDO - ALVILANDIA,Dose Certa,Custeio,3.724,3.724,0,0.0,,2015
FUNDO - ALVILANDIA,Dose Certa,Custeio,564,564,0,0.0,,2015
FUNDO - AMERICANA,Dose Certa,Custeio,502.187,502.187,0,0.0,,2015
FUNDO - AMERICANA,Glicemia,Custeio,102.615,76.962,25.653,0.0,,2015
FUNDO - AMERICANA,Atenção Basica,Custeio,680.910,680.910,0,0.0,,2015
FUNDO - AMÉRICO BRASILIENSE,Dose Certa,Custeio,11.406,11.406,0,0.0,,2015
FUNDO - AMÉRICO BRASILIENSE,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - AMÉRICO BRASILIENSE,Glicemia,Custeio,17.477,17.476,1,0.0,,2015
FUNDO - AMÉRICO BRASILIENSE,Atenção Basica,Custeio,113.073,113.073,0,0.0,,2015
FUNDO - AMÉRICO BRASILIENSE,Dose Certa,Custeio,9.661,9.661,0,0.0,,2015
FUNDO - AMÉRICO BRASILIENSE,Dose Certa,Custeio,16.416,16.416,0,0.0,,2015
FUNDO - AMÉRICO DE CAMPOS,Dose Certa,Custeio,6.025,6.025,0,0.0,,2015
FUNDO - AMÉRICO DE CAMPOS,Glicemia,Custeio,2.858,2.856,2,0.0,,2015
FUNDO - AMÉRICO DE CAMPOS,Atenção Basica,Custeio,17.790,17.790,0,0.0,,2015
FUNDO - AMÉRICO DE CAMPOS,Qualis Mais,Custeio,18.000,18.000,0,0.0,,2015
FUNDO - AMÉRICO DE CAMPOS,Dose Certa,Custeio,10.596,10.596,0,0.0,,2015
FUNDO - AMÉRICO DE CAMPOS,Dose Certa,Custeio,4.517,4.517,0,0.0,,2015
FUNDO - AMPARO,Dose Certa,Custeio,11.177,11.177,0,0.0,,2015
FUNDO - AMPARO,Glicemia,Custeio,33.123,33.124,-1,0.0,,2015
FUNDO - AMPARO,Atenção Basica,Custeio,209.424,209.424,0,0.0,,2015
FUNDO - AMPARO,Dose Certa,Custeio,28.871,28.871,0,0.0,,2015
FUNDO - AMPARO,Dose Certa,Custeio,13.726,13.726,0,0.0,,2015
FUNDO - ANALANDIA,Dose Certa,Custeio,2.421,2.421,0,0.0,,2015
FUNDO - ANALANDIA,Glicemia,Custeio,2.279,2.280,-1,0.0,,2015
FUNDO - ANALANDIA,Atenção Basica,Custeio,14.016,14.016,0,0.0,,2015
FUNDO - ANALANDIA,Qualis Mais,Custeio,18.000,18.000,0,0.0,,2015
FUNDO - ANALANDIA,Dose Certa,Custeio,1.545,1.545,0,0.0,,2015
FUNDO - ANALANDIA,Dose Certa,Custeio,1.458,1.458,0,0.0,,2015
FUNDO - ANDRADINA,Dose Certa,Custeio,23.279,23.279,0,0.0,,2015
FUNDO - ANDRADINA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2015
FUNDO - ANDRADINA,Glicemia,Custeio,28.297,28.296,1,0.0,,2015
FUNDO - ANDRADINA,Atenção Basica,Custeio,171.594,171.594,0,0.0,,2015
FUNDO - ANDRADINA,Sistema Prisional,Custeio,8.039,8.039,0,0.0,,2015
FUNDO - ANDRADINA,Qualis Mais,Custeio,312.000,312.000,0,0.0,,2015
FUNDO - ANDRADINA,Dose Certa,Custeio,12.454,12.454,0,0.0,,2015
FUNDO - ANDRADINA,Dose Certa,Custeio,6.994,6.994,0,0.0,,2015
FUNDO - ANGATUBA,Dose Certa,Custeio,1.418,1.418,0,0.0,,2015
FUNDO - ANGATUBA,Glicemia,Custeio,11.613,11.612,1,0.0,,2015
FUNDO - ANGATUBA,Atenção Basica,Custeio,71.751,71.751,0,0.0,,2015
FUNDO - ANGATUBA,Qualis Mais,Custeio,120.000,120.000,0,0.0,,2015
FUNDO - ANGATUBA,Dose Certa,Custeio,26.134,26.134,0,0.0,,2015
FUNDO - ANGATUBA,Dose Certa,Custeio,6.865,6.865,0,0.0,,2015
FUNDO - ANHEMBI,Dose Certa,Custeio,1.460,1.460,0,0.0,,2015
FUNDO - ANHEMBI,Atenção Basica,Custeio,18.645,18.645,0,0.0,,2015
FUNDO - ANHEMBI,Qualis Mais,Custeio,96.000,96.000,0,0.0,,2015
FUNDO - ANHEMBI,Dose Certa,Custeio,3.870,3.870,0,0.0,,2015
FUNDO - ANHEMBI,Dose Certa,Custeio,3.217,3.217,0,0.0,,2015
FUNDO - ANHUMAS,Dose Certa,Custeio,644,644,0,0.0,,2015
FUNDO - ANHUMAS,Glicemia,Custeio,1.974,1.972,2,0.0,,2015
FUNDO - ANHUMAS,Atenção Basica,Custeio,11.910,11.910,0,0.0,,2015
FUNDO - ANHUMAS,Qualis Mais,Custeio,96.000,96.000,0,0.0,,2015
FUNDO - ANHUMAS,Dose Certa,Custeio,2.054,2.054,0,0.0,,2015
FUNDO - ANHUMAS,Dose Certa,Custeio,365,365,0,0.0,,2015
FUNDO - APARECIDA,Dose Certa,Custeio,7.526,7.526,0,0.0,,2015
FUNDO - APARECIDA,Glicemia,Custeio,18.815,18.816,-1,0.0,,2015
FUNDO - APARECIDA,Atenção Basica,Custeio,108.552,108.552,0,0.0,,2015
FUNDO - APARECIDA,Dose Certa,Custeio,7.706,7.706,0,0.0,,2015
FUNDO - APARECIDA,Dose Certa,Custeio,5.873,5.873,0,0.0,,2015
FUNDO - APARECIDA D`OESTE,Dose Certa,Custeio,2.291,2.291,0,0.0,,2015
FUNDO - APARECIDA D`OESTE,Glicemia,Custeio,2.299,2.300,-1,0.0,,2015
FUNDO - APARECIDA D`OESTE,Atenção Basica,Custeio,13.296,13.296,0,0.0,,2015
FUNDO - APARECIDA D`OESTE,Qualis Mais,Custeio,48.000,48.000,0,0.0,,2015
FUNDO - APARECIDA D`OESTE,Dose Certa,Custeio,3.276,3.276,0,0.0,,2015
FUNDO - APARECIDA D`OESTE,Dose Certa,Custeio,3.266,3.266,0,0.0,,2015
FUNDO - APIAÍ,Dose Certa,Custeio,7.846,7.846,0,0.0,,2015
FUNDO - APIAÍ,Primeira Infância,Custeio,114.620,114.620,0,0.0,,2015
FUNDO - APIAÍ,Glicemia,Custeio,12.850,12.852,-2,0.0,,2015
FUNDO - APIAÍ,Atenção Basica,Custeio,76.047,76.047,0,0.0,,2015
FUNDO - APIAÍ,Qualis Mais,Custeio,216.000,216.000,0,0.0,,2015
FUNDO - APIAÍ,Dose Certa,Custeio,22.950,22.950,0,0.0,,2015
FUNDO - APIAÍ,Dose Certa,Custeio,8.308,8.308,0,0.0,,2015
FUNDO - ARAÇARIGUAMA,Dose Certa,Custeio,4.672,4.672,0,0.0,,2015
FUNDO - ARAÇARIGUAMA,Glicemia,Custeio,8.768,8.768,0,0.0,,2015
FUNDO - ARAÇARIGUAMA,Atenção Basica,Custeio,58.908,58.908,0,0.0,,2015
FUNDO - ARAÇARIGUAMA,Qualis Mais,Custeio,18.000,18.000,0,0.0,,2015
FUNDO - ARAÇARIGUAMA,Dose Certa,Custeio,13.323,13.323,0,0.0,,2015
FUNDO - ARAÇARIGUAMA,Dose Certa,Custeio,4.873,4.873,0,0.0,,2015
FUNDO - ARAÇATUBA,Dose Certa,Custeio,21.737,21.737,0,0.0,,2015
FUNDO - ARAÇATUBA,Glicemia,Custeio,91.263,91.264,-1,0.0,,2015
FUNDO - ARAÇATUBA,Atenção Basica,Custeio,574.986,574.986,0,0.0,,2015
FUNDO - ARAÇATUBA,Sistema Prisional,Custeio,542,542,0,0.0,,2015
FUNDO - ARAÇATUBA,Residencia Terapêutica,Custeio,280.000,280.000,0,0.0,,2015
FUNDO - ARAÇATUBA,Dose Certa,Custeio,50.898,50.898,0,0.0,,2015
FUNDO - ARAÇATUBA,Dose Certa,Custeio,11.390,11.390,0,0.0,,2015
SANTA CASA - ARACATUBA - HOSP.SAGRADO CORACAO DE JESUS,Comissões Intra-Hospitalares,Custeio,120.000,120.000,0,10.0,COMISSAO INTRA-HOSPITALAR,2015
