OSS,Gerenciadora atual,Contratado,Pago,ano
Hospital Santo André,Fundação ABC,1990.0,2033.0,2018
Hospital Guarulhos,SPDM,1831.0,1820.0,2018
Hospital Luzia de Pinho Melo,SPDM,1770.0,1785.0,2018
Hospital Bauru,FAMESP,1731.0,1728.0,2018
Hospital Presidente Prudente,Lar São Francisco,1668.0,1680.0,2018
Hospital Brigadeiro,SPDM,1573.0,1597.0,2018
Hospital Grajau,Sirío Libanês,1452.0,1476.0,2018
Hospital Pedreira,SPDM,1445.0,1449.0,2018
Hospital Pirajussara,SPDM,1300.0,1365.0,2018
Hospital Local Sapopemba,SECONCI,1350.0,1341.0,2018
Hospital Vila Alpina,SECONCI,1294.0,1296.0,2018
Hospital Itaim Paulista,Casa de Saúde Sta. Marcelina,1300.0,1296.0,2018
Hospital Carapicuiba,Cruzada Bandeirante São Camilo,1271.0,1265.0,2018
Hospital Itaquaquecetuba,Casa de Saúde Sta. Marcelina,1264.0,1260.0,2018
Hospital Itapecerica da Serra,SECONCI,1241.0,1239.0,2018
Hospital Sumaré,UNICAMP,1223.0,1226.0,2018
Hospital Diadema,SPDM,1203.0,1199.0,2018
Hospital Base de Bauru,FAMESP,1061.0,1100.0,2018
Hospital Itapevi,Cruzada Bandeirante São Camilo,1186.0,1078.0,2018
Hospital Cotia,SECONCI,913.0,931.0,2018
Hospital Vale do Ribeira,CONSAUDE,898.0,899.0,2018
SEDI II,SECONCI,885.0,852.0,2018
CROSS,SECONCI,766.0,747.0,2018
Hospital Franco da Rocha,Lar São Francisco,814.0,721.0,2018
Hospital Itanhaem,Instituto Socrates Guanaes - ISG,581.0,719.0,2018
Hospital Francisco Morato,Fundação ABC,694.0,696.0,2018
Hospital Vale do Paraiba,SOCIEDADE SÃO CAMILO,653.0,660.0,2018
Hospital Americo Brasiliense,FAEPA,635.0,611.0,2018
SEDI III,FIDI,695.0,601.0,2018
Hospital Universitário de Taubaté,SOCIEDADE SÃO CAMILO,596.0,566.0,2018
HOSP. SÃO JOSÉ DOS CAMPOS,Instituto Socrates Guanaes - ISG,1000.0,548.0,2018
CEAC Zona Norte,AFIP - Produção,579.0,547.0,2018
HOSP. SOROCABA,SPDM,1200.0,539.0,2018
Hospital Jundiaí,Sirío Libanês,495.0,526.0,2018
Hospital Penitenciario,Fundação ABC,501.0,504.0,2018
AME Heliopolis,SECONCI,549.0,497.0,2018
