OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Pedreira,1863.0,0,0,0,0,0,0,0,0,0,0,0,155,1863.0,2015
Santo André,1653.0,0,0,0,0,0,0,0,0,0,0,0,138,1653.0,2015
Guarulhos,1558.0,0,0,0,0,0,0,0,0,0,0,0,130,1558.0,2015
Bauru,1404.0,0,0,0,0,0,0,0,0,0,0,0,117,1404.0,2015
Luzia de Pinho Melo,1397.0,0,0,0,0,0,0,0,0,0,0,0,116,1397.0,2015
Grajau,1371.0,0,0,0,0,0,0,0,0,0,0,0,114,1371.0,2015
Brigadeiro,1361.0,0,0,0,0,0,0,0,0,0,0,0,113,1361.0,2015
Presidente Prudente,1348.0,0,0,0,0,0,0,0,0,0,0,0,112,1348.0,2015
Hospital Estadual de Sapopemba,1135.0,0,0,0,0,0,0,0,0,0,0,0,95,1135.0,2015
Sumaré,1116.0,0,0,0,0,0,0,0,0,0,0,0,93,1116.0,2015
Pirajussara,1079.0,0,0,0,0,0,0,0,0,0,0,0,90,1079.0,2015
Vila Alpina,1078.0,0,0,0,0,0,0,0,0,0,0,0,90,1078.0,2015
Itaim Paulista,1077.0,0,0,0,0,0,0,0,0,0,0,0,90,1077.0,2015
Itaquaquecetuba,1073.0,0,0,0,0,0,0,0,0,0,0,0,89,1073.0,2015
Carapicuiba,1058.0,0,0,0,0,0,0,0,0,0,0,0,88,1058.0,2015
Itapecerica da Serra,1019.0,0,0,0,0,0,0,0,0,0,0,0,85,1019.0,2015
Itapevi,992.0,0,0,0,0,0,0,0,0,0,0,0,83,992.0,2015
Diadema,987.0,0,0,0,0,0,0,0,0,0,0,0,82,987.0,2015
SEDI III,814.0,0,0,0,0,0,0,0,0,0,0,0,68,814.0,2015
Base de Bauru,810.0,0,0,0,0,0,0,0,0,0,0,0,68,810.0,2015
Vale do Ribeira,772.0,0,0,0,0,0,0,0,0,0,0,0,64,772.0,2015
Cotia,721.0,0,0,0,0,0,0,0,0,0,0,0,60,721.0,2015
SEDI II,692.0,0,0,0,0,0,0,0,0,0,0,0,58,692.0,2015
CROSS,648.0,0,0,0,0,0,0,0,0,0,0,0,54,648.0,2015
Franco da Rocha,593.0,0,0,0,0,0,0,0,0,0,0,0,49,593.0,2015
Francisco Morato,592.0,0,0,0,0,0,0,0,0,0,0,0,49,592.0,2015
SEDI I,564.0,0,0,0,0,0,0,0,0,0,0,0,47,564.0,2015
Americo Brasiliense,552.0,0,0,0,0,0,0,0,0,0,0,0,46,552.0,2015
Vale do Paraiba,526.0,0,0,0,0,0,0,0,0,0,0,0,44,526.0,2015
AME Heliopolis,482.0,0,0,0,0,0,0,0,0,0,0,0,40,482.0,2015
CEAC Zona Norte,475.0,0,0,0,0,0,0,0,0,0,0,0,40,475.0,2015
Universitário de Taubaté,452.0,0,0,0,0,0,0,0,0,0,0,0,38,452.0,2015
Penitenciario,423.0,0,0,0,0,0,0,0,0,0,0,0,35,423.0,2015
AME Maria Zelia,365.0,0,0,0,0,0,0,0,0,0,0,0,30,365.0,2015
Instituto Lucy Montouro,342.0,0,0,0,0,0,0,0,0,0,0,0,28,342.0,2015
Itanhaem,289.0,0,0,0,0,0,0,0,0,0,0,0,24,289.0,2015
Ribeirão Preto,277.0,0,0,0,0,0,0,0,0,0,0,0,23,277.0,2015
João Paulo II,276.0,0,0,0,0,0,0,0,0,0,0,0,23,276.0,2015
Jundiaí,234.0,0,0,0,0,0,0,0,0,0,0,0,20,234.0,2015
AME Zona Leste,230.0,0,0,0,0,0,0,0,0,0,0,0,19,230.0,2015
AME Caraguatatuba,229.0,0,0,0,0,0,0,0,0,0,0,0,19,229.0,2015
AME São Jose do Rio Preto,217.0,0,0,0,0,0,0,0,0,0,0,0,18,217.0,2015
Maternidade Santa Isabel,214.0,0,0,0,0,0,0,0,0,0,0,0,18,214.0,2015
AME Bourroul,212.0,0,0,0,0,0,0,0,0,0,0,0,18,212.0,2015
CRSM de Ribeirão Preto,210.0,0,0,0,0,0,0,0,0,0,0,0,17,210.0,2015
AME Votuporanga,209.0,0,0,0,0,0,0,0,0,0,0,0,17,209.0,2015
Instituto Emilio Ribas II,186.0,0,0,0,0,0,0,0,0,0,0,0,15,186.0,2015
AME Praia Grande,186.0,0,0,0,0,0,0,0,0,0,0,0,15,186.0,2015
CEADIS,185.0,0,0,0,0,0,0,0,0,0,0,0,15,185.0,2015
AME Presidente Prudente,183.0,0,0,0,0,0,0,0,0,0,0,0,15,183.0,2015
AME São Jose dos Campos,175.0,0,0,0,0,0,0,0,0,0,0,0,15,175.0,2015
AME Santos,175.0,0,0,0,0,0,0,0,0,0,0,0,15,175.0,2015
AME Araçatuba,174.0,0,0,0,0,0,0,0,0,0,0,0,14,174.0,2015
Porto Primavera,173.0,0,0,0,0,0,0,0,0,0,0,0,14,173.0,2015
AME Franca,162.0,0,0,0,0,0,0,0,0,0,0,0,14,162.0,2015
AME Carapicuiba,157.0,0,0,0,0,0,0,0,0,0,0,0,13,157.0,2015
CRI Zona Norte,156.0,0,0,0,0,0,0,0,0,0,0,0,13,156.0,2015
AME Jardim dos Prados,153.0,0,0,0,0,0,0,0,0,0,0,0,13,153.0,2015
AME Sorocaba,150.0,0,0,0,0,0,0,0,0,0,0,0,12,150.0,2015
AME Santo André,144.0,0,0,0,0,0,0,0,0,0,0,0,12,144.0,2015
AME Atibaia,140.0,0,0,0,0,0,0,0,0,0,0,0,12,140.0,2015
AME Andradina,139.0,0,0,0,0,0,0,0,0,0,0,0,12,139.0,2015
AME Itapevi,137.0,0,0,0,0,0,0,0,0,0,0,0,11,137.0,2015
CAISM Franco da Rocha,130.0,0,0,0,0,0,0,0,0,0,0,0,11,130.0,2015
AME Interlagos,128.0,0,0,0,0,0,0,0,0,0,0,0,11,128.0,2015
AME Dracena,127.0,0,0,0,0,0,0,0,0,0,0,0,11,127.0,2015
AME Tupã,126.0,0,0,0,0,0,0,0,0,0,0,0,11,126.0,2015
Pai Zona Norte,120.0,0,0,0,0,0,0,0,0,0,0,0,10,120.0,2015
AME Vila Maria,115.0,0,0,0,0,0,0,0,0,0,0,0,10,115.0,2015
AME Bauru,114.0,0,0,0,0,0,0,0,0,0,0,0,10,114.0,2015
AME Rio Claro,113.0,0,0,0,0,0,0,0,0,0,0,0,9,113.0,2015
AME Pariquera-Açú,112.0,0,0,0,0,0,0,0,0,0,0,0,9,112.0,2015
